@T,E2
descr,observed soil water content at probe E2 depths 30cm 40cm 50cm 60cm 70cm 80cm 90cm 120cm 150cm 170cm
unit,dimensionless
  
missing_val,-9999
date_start,01.08.2002
date_end,01.10.2003
date_format,dd.MM.yyyy
  
@H,date,swc[0],swc[1],swc[2],swc[3],swc[4],swc[5],swc[6],swc[7],swc[8],swc[9]
nameDrake  
ID1  
elevation1572  
x512701  
y4495474  
,01.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.08.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.09.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.10.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.11.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.12.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.12.2002,0.1539375,0.1977625,0.184783333,0.151116667,0.143654167,0.155879167,0.1232125,0.108254167,0.122016667,0.136875
,15.12.2002,0.1538875,0.197641667,0.185066667,0.1513875,0.143891667,0.1560875,0.123283333,0.108029167,0.121729167,0.136695833
,16.12.2002,0.154708333,0.197866667,0.1853,0.15155,0.143945833,0.156116667,0.123266667,0.1079125,0.1215625,0.136525
,17.12.2002,0.1557125,0.1981375,0.185504167,0.151670833,0.143991667,0.156158333,0.12325,0.107816667,0.121420833,0.136358333
,18.12.2002,0.156720833,0.198720833,0.1859875,0.151995833,0.1441125,0.156241667,0.123275,0.107791667,0.1213,0.136208333
,19.12.2002,0.155320833,0.197425,0.185491667,0.151854167,0.144104167,0.1563,0.1233,0.107720833,0.121195833,0.136054167
,20.12.2002,0.153358333,0.195316667,0.184179167,0.151095833,0.1436375,0.156025,0.123170833,0.1077,0.121095833,0.135941667
,21.12.2002,0.152791667,0.193895833,0.182908333,0.150141667,0.142929167,0.1554625,0.122845833,0.107658333,0.1210125,0.135829167
,22.12.2002,0.152383333,0.193070833,0.182225,0.149545833,0.142370833,0.154941667,0.122458333,0.107520833,0.120883333,0.135733333
,23.12.2002,0.152133333,0.1922375,0.1815375,0.148966667,0.141866667,0.1544125,0.1220875,0.107333333,0.120758333,0.1356
,24.12.2002,0.150570833,0.190770833,0.1806125,0.148345833,0.141395833,0.153941667,0.121733333,0.107154167,0.120595833,0.135454167
,25.12.2002,0.148420833,0.188508333,0.178995833,0.147304167,0.140654167,0.1532875,0.121329167,0.10695,0.120395833,0.135325
,26.12.2002,0.146429167,0.186245833,0.177270833,0.146066667,0.139725,0.1524125,0.120775,0.106733333,0.120191667,0.13515
,27.12.2002,0.1458125,0.184733333,0.175820833,0.144904167,0.1387625,0.151466667,0.120108333,0.106425,0.119970833,0.1349625
,28.12.2002,0.148191667,0.1857625,0.175979167,0.1445375,0.1382125,0.150725,0.119504167,0.106104167,0.119720833,0.134720833
,29.12.2002,0.150625,0.187495833,0.17705,0.1450375,0.138270833,0.1505375,0.119229167,0.105808333,0.11945,0.134504167
,30.12.2002,0.153458333,0.189654167,0.178529167,0.1458875,0.138683333,0.150716667,0.119220833,0.105566667,0.1192,0.134279167
,31.12.2002,0.154029167,0.19055,0.179495833,0.146683333,0.139229167,0.1511,0.119358333,0.10545,0.1189875,0.13405
,01.01.2003,0.1555625,0.191354167,0.180079167,0.147104167,0.139579167,0.151425,0.1195,0.1054,0.118825,0.133870833
,02.01.2003,0.155495833,0.191766667,0.180679167,0.1476375,0.139970833,0.151741667,0.119679167,0.1054,0.118708333,0.133720833
,03.01.2003,0.1562125,0.191754167,0.180654167,0.147675,0.140108333,0.151904167,0.119808333,0.1054,0.118604167,0.133579167
,04.01.2003,0.1595625,0.194104167,0.182054167,0.148408333,0.140483333,0.152158333,0.1199375,0.1054,0.118529167,0.133475
,05.01.2003,0.160845833,0.195491667,0.183341667,0.149404167,0.141204167,0.152716667,0.12025,0.105441667,0.118495833,0.133325
,06.01.2003,0.16185,0.196375,0.184208333,0.150116667,0.141795833,0.153279167,0.120625,0.105541667,0.118475,0.133270833
,07.01.2003,0.1612625,0.196195833,0.1844375,0.150508333,0.142216667,0.153725,0.120966667,0.105654167,0.118479167,0.1331875
,08.01.2003,0.162129167,0.1963875,0.1845,0.1506,0.142358333,0.153925,0.121170833,0.1057875,0.118495833,0.1331375
,09.01.2003,0.162970833,0.197245833,0.185204167,0.151045833,0.142658333,0.154195833,0.121329167,0.105879167,0.118504167,0.133129167
,10.01.2003,0.159520833,0.1951875,0.184316667,0.150841667,0.142754167,0.154391667,0.121483333,0.106,0.118545833,0.133175
,11.01.2003,0.1550625,0.191258333,0.181641667,0.149320833,0.1419625,0.153975,0.121379167,0.1060375,0.1186,0.1331875
,12.01.2003,0.1537625,0.1892625,0.179679167,0.147766667,0.1407875,0.153054167,0.120891667,0.1059875,0.1186,0.1332
,13.01.2003,0.1547375,0.189175,0.1790625,0.146991667,0.1399875,0.1522375,0.120325,0.105820833,0.1185375,0.133179167
,14.01.2003,0.157341667,0.190870833,0.179866667,0.147175,0.13985,0.151908333,0.1199625,0.105620833,0.118445833,0.133116667
,15.01.2003,0.158354167,0.191975,0.180770833,0.147733333,0.140125,0.151970833,0.1199,0.105454167,0.118295833,0.133045833
,16.01.2003,0.1574625,0.191491667,0.180691667,0.14785,0.140283333,0.152095833,0.1199,0.105383333,0.118170833,0.132945833
,17.01.2003,0.157541667,0.191329167,0.180495833,0.1477,0.140195833,0.1520125,0.119895833,0.105316667,0.1180875,0.132866667
,18.01.2003,0.1561875,0.190433333,0.180020833,0.147491667,0.14005,0.151945833,0.119808333,0.1053,0.118,0.1328
,19.01.2003,0.156141667,0.189791667,0.179354167,0.1469875,0.139683333,0.151658333,0.11965,0.105254167,0.117916667,0.132725
,20.01.2003,0.158329167,0.191133333,0.179958333,0.147120833,0.1396375,0.1515,0.1194875,0.10515,0.117845833,0.132670833
,21.01.2003,0.16015,0.192725,0.1810625,0.1477875,0.139979167,0.151675,0.119508333,0.105095833,0.11775,0.132591667
,22.01.2003,0.159333333,0.192666667,0.181454167,0.148225,0.140383333,0.151983333,0.119683333,0.105095833,0.1177,0.132504167
,23.01.2003,0.1564625,0.190420833,0.180145833,0.147670833,0.140175,0.1519875,0.119741667,0.1051,0.1176375,0.132475
,24.01.2003,0.156954167,0.190045833,0.179458333,0.147004167,0.1396875,0.151620833,0.119554167,0.105083333,0.1176,0.132404167
,25.01.2003,0.158658333,0.191091667,0.179916667,0.1471,0.1396,0.15145,0.119404167,0.104991667,0.1175625,0.132375
,26.01.2003,0.159633333,0.1920875,0.180679167,0.147575,0.139816667,0.151529167,0.1194,0.104908333,0.1175,0.132304167
,27.01.2003,0.161558333,0.1931625,0.181308333,0.14795,0.140083333,0.151708333,0.119470833,0.1049,0.117420833,0.132254167
,28.01.2003,0.1648625,0.195883333,0.183204167,0.149066667,0.140741667,0.152170833,0.119683333,0.1049,0.1174,0.1322
,29.01.2003,0.164645833,0.196520833,0.184166667,0.150029167,0.141554167,0.152891667,0.120108333,0.104970833,0.1174,0.1321625
,30.01.2003,0.164583333,0.196408333,0.184266667,0.1502625,0.141916667,0.153308333,0.120458333,0.105120833,0.1174,0.1321375
,31.01.2003,0.166129167,0.197366667,0.184854167,0.150620833,0.142183333,0.1535875,0.120691667,0.1052375,0.11745,0.1321625
,01.02.2003,0.1684375,0.198995833,0.185970833,0.1513375,0.142679167,0.154008333,0.120983333,0.105320833,0.1175,0.132195833
,02.02.2003,0.171504167,0.201704167,0.187975,0.1525875,0.1435625,0.154704167,0.1213625,0.105454167,0.117579167,0.1322
,03.02.2003,0.169216667,0.201008333,0.188358333,0.153308333,0.1443625,0.155554167,0.121925,0.105670833,0.1176875,0.132245833
,04.02.2003,0.165079167,0.197945833,0.186529167,0.152529167,0.144191667,0.155704167,0.1221875,0.105891667,0.117804167,0.1323125
,05.02.2003,0.162958333,0.1955625,0.184525,0.151191667,0.14335,0.1552,0.1220375,0.106016667,0.1179375,0.132408333
,06.02.2003,0.161470833,0.194120833,0.1832125,0.150170833,0.14255,0.154541667,0.121679167,0.106016667,0.118,0.1325
,07.02.2003,0.15825,0.191654167,0.181491667,0.149020833,0.141741667,0.1538375,0.121270833,0.105920833,0.118008333,0.1325375
,08.02.2003,0.155679167,0.189008333,0.179345833,0.1475,0.14065,0.152916667,0.120716667,0.105758333,0.117995833,0.132583333
,09.02.2003,0.156075,0.188470833,0.178341667,0.146466667,0.139679167,0.151954167,0.1200625,0.105516667,0.1179125,0.1325625
,10.02.2003,0.1555125,0.188029167,0.177933333,0.146016667,0.139179167,0.15135,0.119529167,0.105275,0.117779167,0.1325
,11.02.2003,0.155654167,0.187716667,0.177429167,0.145541667,0.138729167,0.150820833,0.1191625,0.105045833,0.117641667,0.132416667
,12.02.2003,0.156220833,0.188004167,0.17745,0.145391667,0.138466667,0.150475,0.118841667,0.1048125,0.117458333,0.1323125
,13.02.2003,0.157766667,0.1889375,0.177879167,0.145529167,0.138408333,0.1503,0.1186125,0.104654167,0.1172875,0.132204167
,14.02.2003,0.160145833,0.190583333,0.178891667,0.146041667,0.138620833,0.1503375,0.118554167,0.1045125,0.117141667,0.132075
,15.02.2003,0.162533333,0.192766667,0.180508333,0.147041667,0.1392,0.150720833,0.118683333,0.1044125,0.117008333,0.1319625
,16.02.2003,0.162854167,0.193429167,0.181341667,0.1478,0.139829167,0.151258333,0.118995833,0.1044125,0.116916667,0.1318625
,17.02.2003,0.1634125,0.1938625,0.181779167,0.148158333,0.140208333,0.151629167,0.1192625,0.104475,0.1169,0.1318
,18.02.2003,0.1647375,0.194954167,0.182575,0.148695833,0.140570833,0.151983333,0.1194625,0.104554167,0.1168875,0.131741667
,19.02.2003,0.165566667,0.195783333,0.183291667,0.149266667,0.141045833,0.152391667,0.119733333,0.1046375,0.1169,0.1317
,20.02.2003,0.1643,0.195229167,0.183266667,0.149504167,0.141370833,0.152729167,0.120004167,0.104704167,0.116908333,0.1317
,21.02.2003,0.164783333,0.195183333,0.183066667,0.149345833,0.141358333,0.1528,0.120104167,0.104795833,0.116966667,0.131733333
,22.02.2003,0.16525,0.195666667,0.183433333,0.149591667,0.141470833,0.152908333,0.1202125,0.1048625,0.117,0.131766667
,23.02.2003,0.163604167,0.194891667,0.183141667,0.149583333,0.141558333,0.153058333,0.1203125,0.104933333,0.117041667,0.1318
,24.02.2003,0.158466667,0.191183333,0.180908333,0.148441667,0.141020833,0.152808333,0.120254167,0.104995833,0.1171,0.1318
,25.02.2003,0.154625,0.1875125,0.178058333,0.146529167,0.139766667,0.151866667,0.119779167,0.104945833,0.1171,0.1318375
,26.02.2003,0.1542875,0.186125,0.176358333,0.145016667,0.1385,0.150679167,0.119095833,0.104766667,0.117058333,0.131841667
,27.02.2003,0.156579167,0.187325,0.176579167,0.144695833,0.137920833,0.1499375,0.118470833,0.104520833,0.11695,0.131808333
,28.02.2003,0.158295833,0.1887125,0.1774375,0.145104167,0.137954167,0.149791667,0.118179167,0.104283333,0.116804167,0.1317375
,01.03.2003,0.158291667,0.1891125,0.177933333,0.145454167,0.138195833,0.149841667,0.118116667,0.104125,0.116641667,0.131645833
,02.03.2003,0.158404167,0.189,0.177833333,0.145429167,0.1382,0.149841667,0.118104167,0.1040125,0.116570833,0.131541667
,03.03.2003,0.160995833,0.1906875,0.178766667,0.145833333,0.138329167,0.149870833,-9999,0.103979167,0.116466667,0.1314125
,04.03.2003,0.162495833,0.1924375,0.1801625,0.1467625,0.1388875,0.150258333,0.11825,0.103958333,0.1163875,0.131329167
,05.03.2003,0.159891667,0.190858333,0.179604167,0.146816667,0.139158333,0.150620833,0.118479167,0.103983333,0.116316667,0.131266667
,06.03.2003,0.161091667,0.191095833,0.179408333,0.146541667,0.138975,0.150529167,0.1185,0.104,0.1163,0.131208333
,07.03.2003,0.16385,0.1930375,0.1805625,0.147095833,0.1392125,0.150641667,0.118525,0.104,0.1163,0.1312
,08.03.2003,0.16705,0.1955875,0.182341667,0.148179167,0.1399,0.15115,0.118775,0.104,0.116295833,0.131175
,09.03.2003,0.169045833,0.197779167,0.184245833,0.149508333,0.140891667,0.151979167,0.1192375,0.104066667,0.1163,0.131133333
,10.03.2003,0.170183333,0.19885,0.185329167,0.150441667,0.141733333,0.152779167,0.119754167,0.1042625,0.116333333,0.1311375
,11.03.2003,0.173195833,0.2011375,0.186958333,0.1515,0.1425375,0.153516667,-9999,0.104475,0.116441667,0.131191667
,12.03.2003,0.176333333,0.2038125,0.1890875,0.152908333,0.1436125,0.154495833,0.120929167,0.104704167,0.1165625,0.131216667
,13.03.2003,0.179275,0.206454167,0.191329167,0.154495833,0.14485,0.155675,0.121654167,0.1049875,0.116670833,0.131333333
,14.03.2003,0.1822625,0.209108333,0.193566667,0.156091667,0.146158333,0.156941667,0.1225,0.105320833,0.1168625,0.131466667
,15.03.2003,0.185929167,0.212045833,0.1959625,0.1577625,0.1475,0.158279167,0.1233875,0.105708333,0.1171,0.13165
,16.03.2003,0.18775,0.214316667,0.198270833,0.159591667,0.149058333,0.159775,0.1243625,0.10615,0.117391667,0.131841667
,17.03.2003,0.188079167,0.215020833,0.199375,0.160720833,0.15025,0.161070833,0.125283333,0.106654167,0.117729167,0.132066667
,18.03.2003,0.183695833,0.212695833,0.198508333,0.160820833,0.150816667,0.1619125,0.126025,0.107104167,0.118075,0.132320833
,19.03.2003,0.178204167,0.208170833,0.195354167,0.159133333,0.15005,0.161741667,0.126229167,0.107516667,0.118433333,0.1326
,20.03.2003,0.1761125,0.2054,0.192758333,0.157266667,0.14875,0.16085,0.125904167,0.1077,0.118741667,0.132879167
,21.03.2003,0.178754167,0.206341667,0.192604167,0.1566125,0.14795,0.160075,0.125425,0.1077,0.1189625,0.1331125
,22.03.2003,0.181225,0.208466667,0.194004167,0.157254167,0.148141667,0.1600125,0.1253,0.1077,0.1190875,0.133283333
,23.03.2003,0.182429167,0.209404167,0.194783333,0.1578625,0.148583333,0.160358333,0.125441667,0.1077,0.119166667,0.133454167
,24.03.2003,0.1849875,0.211808333,0.196566667,0.158958333,0.149266667,0.160845833,0.125725,0.107754167,0.119258333,0.133575
,25.03.2003,0.181266667,0.209595833,0.195720833,0.158991667,0.149670833,0.161383333,0.126108333,0.107916667,0.119379167,0.1337
,26.03.2003,0.182033333,0.209479167,0.195216667,0.158533333,0.149375,0.161279167,0.1262,0.108066667,0.119504167,0.133820833
